day,algae,rotifier
322,0.36,35.15
323,0.36,53.55
324,0.29,67.92
325,0.14,138.29
326,0.15,80.63
327,0.1,19.93
328,0.61,15.95
329,1.64,58.9
330,1.51,104.33
331,0.57,228.99
332,0.45,93.86
333,0.32,13.22
334,0.6,9.55
335,1.18,27.88
336,1.93,47.31
337,0.62,69.4
338,0.51,53.12
339,0.3,27.58
340,0.28,11.37
341,0.6,8.68
342,0.9,14.39
343,1.1,33.67
344,1.19,44.61
345,1.17,44.94
346,1.06,39.86
347,0.89,34.57
348,0.67,34.27
349,0.46,40.12
350,0.35,40.86
351,0.34,35.99
352,0.38,28.34
353,0.46,20.72
354,0.71,20.71
355,1.26,45.56
356,0.63,63.03
357,0.37,40.46
358,0.44,28.39
359,0.42,18.98
360,0.51,20.62
361,0.65,10.53
362,1.18,39.9
363,0.42,35.59
364,0.57,20.88
365,0.77,31.05
366,0.58,35.49
367,0.32,22.78
368,0.49,14.57
369,0.79,21.84
370,0.85,35.56
371,0.46,38.21
372,0.37,22.81
373,0.65,13.51
374,0.68,27.32
375,0.81,36.39
